Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,5774050,,
1951-12-31,5905774,2.28,
1952-12-31,6048730,2.42,
1953-12-31,6201950,2.53,
1954-12-31,6371191,2.73,
1955-12-31,6558870,2.95,
1956-12-31,6763941,3.13,
1957-12-31,6987580,3.31,
1958-12-31,7223458,3.38,
1959-12-31,7475752,3.49,
1960-12-31,7751435,3.69,
1961-12-31,8047470,3.82,
1962-12-31,8363578,3.93,
1963-12-31,8697200,3.99,
1964-12-31,9047387,4.03,
1965-12-31,9417207,4.09,
1966-12-31,9802605,4.09,
1967-12-31,10201068,4.06,
1968-12-31,10613877,4.05,
1969-12-31,11039551,4.01,
1970-12-31,11473087,3.93,
1971-12-31,11898457,3.71,
1972-12-31,12322903,3.57,
1973-12-31,12760405,3.55,
1974-12-31,13203949,3.48,
1975-12-31,13651908,3.39,
1976-12-31,14102268,3.3,
1977-12-31,14577346,3.37,
1978-12-31,15087423,3.5,
1979-12-31,15620613,3.53,
1980-12-31,16187124,3.63,
1981-12-31,16785962,3.7,
1982-12-31,17411491,3.73,
1983-12-31,18069461,3.78,
1984-12-31,18753176,3.78,
1985-12-31,19452161,3.73,
1986-12-31,20160879,3.64,
1987-12-31,20882094,3.58,
1988-12-31,21626122,3.56,
1989-12-31,22387803,3.52,
1990-12-31,23162269,3.46,
1991-12-31,23918235,3.26,
1992-12-31,24655723,3.08,
1993-12-31,25391830,2.99,
1994-12-31,26133744,2.92,
1995-12-31,26878347,2.85,
1996-12-31,27615736,2.74,
1997-12-31,28364264,2.71,
1998-12-31,29137373,2.73,
1999-12-31,29965129,2.84,
2000-12-31,30851606,2.96,
2001-12-31,31800343,3.08,
2002-12-31,32779823,3.08,
2003-12-31,33767122,3.01,
2004-12-31,34791836,3.03,
2005-12-31,35843010,3.02,
2006-12-31,36925253,3.02,
2007-12-31,38036793,3.01,
2008-12-31,39186895,3.02,
2009-12-31,40364444,3,
2010-12-31,41517895,2.86,
2011-12-31,42635144,2.69,
2012-12-31,43725806,2.56,
2013-12-31,44792368,2.44,
2014-12-31,45831863,2.32,
2015-12-31,46851488,2.22,
2016-12-31,47894670,2.23,
2017-12-31,48948137,2.2,
2018-12-31,49953304,2.05,
2019-12-31,50951450,2,
2020-12-31,51985780,2.03,
2021-12-31,53005614,1.96,
2022-12-31,54027487,1.93,
2023-12-31,55100586,1.99,
2024-12-31,56203030,2,
2025-12-31,57323930,1.99,
2026-12-31,58457378,1.98,
2027-12-31,59604431,1.96,
2028-12-31,60762923,1.94,
2029-12-31,61929863,1.92,
2030-12-31,63103942,1.9,
2031-12-31,64284466,1.87,
2032-12-31,65470260,1.84,
2033-12-31,66655944,1.81,
2034-12-31,67839692,1.78,
2035-12-31,69018977,1.74,
2036-12-31,70186445,1.69,
2037-12-31,71342689,1.65,
2038-12-31,72493659,1.61,
2039-12-31,73634414,1.57,
2040-12-31,74757978,1.53,
2041-12-31,75866827,1.48,
2042-12-31,76961167,1.44,
2043-12-31,78039853,1.4,
2044-12-31,79104471,1.36,
2045-12-31,80156601,1.33,
2046-12-31,81195005,1.3,
2047-12-31,82219527,1.26,
2048-12-31,83230070,1.23,
2049-12-31,84227657,1.2,
2050-12-31,85211739,1.17,
2051-12-31,86180531,1.14,
2052-12-31,87136936,1.11,
2053-12-31,88079530,1.08,
2054-12-31,89009409,1.06,
2055-12-31,89930664,1.04,
2056-12-31,90841703,1.01,
2057-12-31,91739355,0.99,
2058-12-31,92623988,0.96,
2059-12-31,93491952,0.94,
2060-12-31,94340314,0.91,
2061-12-31,95167607,0.88,
2062-12-31,95977327,0.85,
2063-12-31,96770484,0.83,
2064-12-31,97545543,0.8,
2065-12-31,98299137,0.77,
2066-12-31,99033580,0.75,
2067-12-31,99748454,0.72,
2068-12-31,100441292,0.69,
2069-12-31,101115967,0.67,
2070-12-31,101768606,0.65,
2071-12-31,102397861,0.62,
2072-12-31,103004539,0.59,
2073-12-31,103592150,0.57,
2074-12-31,104160996,0.55,
2075-12-31,104706431,0.52,
2076-12-31,105230178,0.5,
2077-12-31,105734208,0.48,
2078-12-31,106220830,0.46,
2079-12-31,106689223,0.44,
2080-12-31,107137378,0.42,
2081-12-31,107569758,0.4,
2082-12-31,107986356,0.39,
2083-12-31,108385768,0.37,
2084-12-31,108769043,0.35,
2085-12-31,109136418,0.34,
2086-12-31,109483944,0.32,
2087-12-31,109812297,0.3,
2088-12-31,110124435,0.28,
2089-12-31,110419644,0.27,
2090-12-31,110696703,0.25,
2091-12-31,110953043,0.23,
2092-12-31,111189713,0.21,
2093-12-31,111410712,0.2,
2094-12-31,111613374,0.18,
2095-12-31,111797574,0.17,
2096-12-31,111965712,0.15,
2097-12-31,112121517,0.14,
2098-12-31,112267431,0.13,
2099-12-31,112401711,0.12,
2100-12-31,112525079,0.11,
