Year,Population,% Population Growth,Trade Deficit(USD),% Change Deficit,Manufacturing Output(USD),% Change in Output,FDI Amount(USD),% Change in FDI,GDP Amount(USD),GDP per Capita,% Change in GDP,GNI Amount(USD),GNI per Capita,% Change in GNI,% Inflation Rate,% Change in Inflation
2000,30851606,2.96,-1287547740.7171001,-10.1339,1310630648.3517,10.3156,110904550.3998,0.8729,12705350097.804,411.8214,0.5997,13172821842.911999,430,0.9087,9.98,4.24
2001,31800343,3.08,-1309467862.1388001,-10.0837,1270023713.4227,9.7799,5302622.9394000005,0.0408,12986007425.878,408.3606,3.7799,13000590813.857,410,3.6933,5.7386,-4.24
2002,32779823,3.08,-706917924.2613001,-5.3767,1291582326.0651999,9.8236,27618447.0582,0.2101,13147736898.518,401.0924,0.5469,12882102806.533,390,0.7313,1.9613,-3.78
2003,33767122,3.01,-888105847.726,-5.9586,1447083379.9738002,9.709,81738242.63660002,0.5484,14904517649.848001,441.3914,2.9325,14031378687.115,420,2.7567,9.8157,7.85
2004,34791836,3.03,-1007002543.7708001,-6.2565,1609661276.8365,10.0008,46063931.454399996,0.2862,16095337093.837,462.6182,5.1043,16076227775.474997,460,5.3384,11.624,1.81
2005,35843010,3.02,-1397997983.1408,-7.4608,1974240739.1766999,10.5361,21211685.395200003,0.1132,18737895512.738,522.7768,5.9067,18609115728.466,520,6.7141,10.3128,-1.31
2006,36925253,3.02,-2393148428.8636003,-9.2666,3277091035.0761003,12.6894,50674725.18310001,0.1962,25825512284.288998,699.3997,6.4725,21847771372.556,590,6.2321,14.4537,4.14
2007,38036793,3.01,-3213973760.2054,-10.0568,4087593734.7737007,12.7904,729044146.0437,2.2812,31958195182.241,840.1916,6.8507,27060697889.566998,710,6.6759,9.7589,-4.69
2008,39186895,3.02,-4390150819.728999,-12.2305,4341795409.633201,12.0958,95585680.2334,0.2663,35895153327.85,915.9989,0.2323,32710324299.873,830,0.5702,26.2398,16.48
2009,40364444,3.0,-3555176336.7463,-8.3953,4866945909.608,11.493,116257608.9864,0.2745,42347217912.918,1049.1218,3.3069,33429518993.319,830,-9.9194,9.2341,-17.01
2010,41517895,2.86,-4606657576.8688,-10.1456,5067436923.3727,11.1604,178064606.7521,0.3922,45405615063.755,1093.6396,8.0585,38745132326.062,930,9.0995,3.9614,-5.27
2011,42635144,2.69,-7172553508.994499,-15.3033,5646725053.729401,12.0478,1450474757.0818002,3.0947,46869473150.61,1099.3155,5.1211,43127835272.411,1010,7.669,14.0225,10.06
2012,43725806,2.56,-6707709330.0404,-11.8938,6250638681.5828,11.0833,1380173661.9427,2.4473,56396704671.578,1289.7808,4.5687,46512374618.055,1060,3.6029,9.3778,-4.64
2013,44792368,2.44,-7326740667.831099,-11.8803,6727747687.115801,10.909,1118825000.1933,1.8142,61671440407.839,1376.8292,3.7978,50624928687.196,1130,3.0357,5.7175,-3.66
2014,45831863,2.32,-9030714940.0918,-13.2249,6872988249.015401,10.065,820937598.3605001,1.2022,68285796514.29,1489.9197,5.0201,57582713234.211,1260,5.4641,6.8782,1.16
2015,46851488,2.22,-7061070721.9027,-10.0699,6994640667.2348,9.9752,619724465.0164,0.8838,70120446896.836,1496.6536,4.9677,62095754502.364,1330,6.3857,6.5822,-0.3
2016,47894670,2.23,-6258683308.498799,-8.3655,6973887005.7899,9.3215,469533310.68390006,0.6276,74815144163.893,1562.0766,4.2135,71748257092.23601,1500,13.9943,6.2972,-0.29
2017,48948137,2.2,-8631666732.827301,-10.5217,7169286956.325,8.7391,1346085345.2168996,1.6408,82036510877.26,1675.9884,3.838,75691962706.18199,1550,3.2555,8.0056,1.71
2018,49953304,2.05,-8603277970.7845,-9.3308,7752781807.7141,8.4084,767761506.7306,0.8327,92202979985.28601,1845.7834,5.6479,86589036361.052,1730,6.0731,4.6898,-3.32
2019,50951450,2.0,-8937167365.004,-8.9035,7934529865.4793005,7.9046,469940266.7767,0.4682,100378436207.37,1970.0801,5.1142,96154460806.41199,1890,5.0192,5.2396,0.55
2020,51985780,2.03,-8007857716.0261,-7.9555,7649807732.738099,7.5998,426305189.42579997,0.4235,100657505750.54001,1936.2508,-0.2728,98655214497.42201,1900,-0.4052,5.4052,0.17
2021,53005614,1.96,-10027923138.552002,-9.1409,8077811011.567,7.3633,463348935.675,0.4224,109703658904.99,2069.6611,7.5905,110027311848.83998,2080,7.6403,6.1079,0.7
2022,54027487,1.93,-10546983132.451,-9.2991,8876937334.3953,7.8266,393583092.1353,0.34700000000000003,113419826113.9,2099.2986,4.8466,117312546598.05,2170,5.0281,7.6599,1.55
2023,55100586,1.99,-9393299738.505598,-8.7428,,,1504342820.0,1.4002,107440575838.05,1949.899,5.4258,116406438443.53998,2110,,7.6714,0.01
