Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1970-12-31,0.0138,0.8606,
1971-12-31,0.0074,0.4161,
1972-12-31,0.0062999999,0.299,
1973-12-31,0.01726,0.6879,
1974-12-31,0.02342,0.7886,
1975-12-31,0.0171587474682,0.5264,
1976-12-31,0.046371850857,1.3346,
1977-12-31,0.0565452256651,1.2581,
1978-12-31,0.0344141296353,0.6489,
1979-12-31,0.0840099032806,1.3475,
1980-12-31,0.0789737456202,1.087,
1981-12-31,0.0141475571804,0.2064,
1982-12-31,0.0130008949567,0.2021,
1983-12-31,0.0237388426827,0.397,
1984-12-31,0.0107535274176,0.1737,
1985-12-31,0.0288459490411,0.4702,
1986-12-31,0.0327257767881,0.4521,
1987-12-31,0.0393813442024,0.4941,
1988-12-31,0.0003944306394,0.0047,
1989-12-31,0.0621899172681,0.7508,
1990-12-31,0.0570810961782,0.6659,
1991-12-31,0.0188309768357,0.231,
1992-12-31,0.0063631331447,0.0775,
1993-12-31,0.1456555171145,2.5324,
1994-12-31,0.0074324126024,0.104,
1995-12-31,0.0422892484583,0.4675,
1996-12-31,0.1086729316243,0.9022,
1997-12-31,0.0620968097799,0.4735,
1998-12-31,0.02654824597,0.1884,
1999-12-31,0.051953455954,0.4029,
2000-12-31,0.1109045503998,0.8729,
2001-12-31,0.0053026229394,0.0408,
2002-12-31,0.0276184470582,0.2101,
2003-12-31,0.0817382426366,0.5484,
2004-12-31,0.0460639314544,0.2862,
2005-12-31,0.0212116853952,0.1132,
2006-12-31,0.0506747251831,0.1962,
2007-12-31,0.7290441460437,2.2812,
2008-12-31,0.0955856802334,0.2663,
2009-12-31,0.1162576089864,0.2745,
2010-12-31,0.1780646067521,0.3922,
2011-12-31,1.4504747570818,3.0947,
2012-12-31,1.3801736619427,2.4473,
2013-12-31,1.1188250001933,1.8142,
2014-12-31,0.8209375983605,1.2022,
2015-12-31,0.6197244650164,0.8838,
2016-12-31,0.4695333106839,0.6276,
2017-12-31,1.3460853452169,1.6408,
2018-12-31,0.7677615067306,0.8327,
2019-12-31,0.4699402667767,0.4682,
2020-12-31,0.4263051894258,0.4235,
2021-12-31,0.463348935675,0.4224,
2022-12-31,0.3935830921353,0.347,
2023-12-31,1.50434282,1.4002,
