Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1962-12-31,0.8360509212288,100,
1963-12-31,0.924938645959,110,
1964-12-31,0.9733340165723,110,
1965-12-31,0.999617814581,110,2.4301
1966-12-31,1.1593792224128,120,14.3372
1967-12-31,1.2061362546137,120,3.1787
1968-12-31,1.3446714063837,130,8.3358
1969-12-31,1.4955902992782,140,9.2825
1970-12-31,1.5119045035737,130,-4.3325
1971-12-31,1.8810610407385,160,22.241
1972-12-31,2.2761840958592,180,16.8664
1973-12-31,2.5152275103114,200,3.4184
1974-12-31,3.0082863381979,230,4.7943
1975-12-31,3.4187935625906,250,1.5469
1976-12-31,3.5126488186429,250,0.8532
1977-12-31,4.108841893795,280,9.8182
1978-12-31,4.9261138139193,330,7.0702
1979-12-31,6.214419113713,400,7.5832
1980-12-31,7.445379546786,460,6.3425
1981-12-31,7.6629329760075,460,3.8487
1982-12-31,6.9909427344062,400,0.9059
1983-12-31,6.1999548968791,340,1.9711
1984-12-31,5.9911964875355,320,1.5885
1985-12-31,6.0726344692696,310,4.3481
1986-12-31,6.9457639908419,340,7.1284
1987-12-31,7.9804999100254,380,5.8196
1988-12-31,9.0070224550649,420,5.8785
1989-12-31,9.0670018181136,400,5.6461
1990-12-31,8.8451231968182,380,3.0256
1991-12-31,8.4661015208465,350,1.0058
1992-12-31,8.3340135409779,340,-0.6234
1993-12-31,6.9658709501192,270,-1.7058
1994-12-31,6.8950730917869,260,3.5955
1995-12-31,7.4500690008442,280,6.0301
1996-12-31,9.6127360584127,350,5.8149
1997-12-31,11.32763027249,400,0.9791
1998-12-31,12.956211518666,440,3.6671
1999-12-31,13.283704622554,440,1.9052
2000-12-31,13.172821842912,430,0.9087
2001-12-31,13.000590813857,410,3.6933
2002-12-31,12.882102806533,390,0.7313
2003-12-31,14.031378687115,420,2.7567
2004-12-31,16.076227775475,460,5.3384
2005-12-31,18.609115728466,520,6.7141
2006-12-31,21.847771372556,590,6.2321
2007-12-31,27.060697889567,710,6.6759
2008-12-31,32.710324299873,830,0.5702
2009-12-31,33.429518993319,830,-9.9194
2010-12-31,38.745132326062,930,9.0995
2011-12-31,43.127835272411,1010,7.669
2012-12-31,46.512374618055,1060,3.6029
2013-12-31,50.624928687196,1130,3.0357
2014-12-31,57.582713234211,1260,5.4641
2015-12-31,62.095754502364,1330,6.3857
2016-12-31,71.748257092236,1500,13.9943
2017-12-31,75.691962706182,1550,3.2555
2018-12-31,86.589036361052,1730,6.0731
2019-12-31,96.154460806412,1890,5.0192
2020-12-31,98.655214497422,1900,-0.4052
2021-12-31,110.02731184884,2080,7.6403
2022-12-31,117.31254659805,2170,5.0281
2023-12-31,116.40643844354,2110,
