Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,0.0689079864368,8.7086,
1961-12-31,0.0728419848632,9.1861,
1962-12-31,0.0748439840624,8.6215,
1963-12-31,0.0805419817832,8.6923,
1964-12-31,0.0956759757296,9.5795,
1965-12-31,0.104999972,10.5219,
1966-12-31,0.116479953408,10.0024,
1967-12-31,0.126839963264,10.2908,
1968-12-31,0.1401679439328,10.3575,
1969-12-31,0.1591519363392,10.9129,
1970-12-31,0.1740479303808,10.8546,
1971-12-31,0.2007039197184,11.2857,
1972-12-31,0.2182039127184,10.3548,
1973-12-31,0.2704110957106,10.7776,
1974-12-31,0.3343758662497,11.2586,
1975-12-31,0.3458985757286,10.6125,
1976-12-31,0.3446336832934,9.9188,
1977-12-31,0.4348182777847,9.6747,
1978-12-31,0.5674954909079,10.6999,
1979-12-31,0.6688685377421,10.7287,
1980-12-31,0.7955325115122,10.9497,
1981-12-31,0.7253939155333,10.5828,
1982-12-31,0.6817596070434,10.6002,
1983-12-31,0.613393650025,10.2588,
1984-12-31,0.6396059352534,10.3305,
1985-12-31,0.6309594801449,10.2845,
1986-12-31,0.7497099362236,10.3564,
1987-12-31,0.7930600349133,9.9495,
1988-12-31,0.8485442692045,10.1557,
1989-12-31,0.8315580236439,10.0392,
1990-12-31,0.8618023478048,10.0533,
1991-12-31,0.8487775660686,10.4125,
1992-12-31,0.7640291645054,9.3071,
1993-12-31,0.4895335767542,8.511,
1994-12-31,0.645046014247,9.024,
1995-12-31,0.7565842183466,8.3634,
1996-12-31,1.4285772564261,11.8595,
1997-12-31,1.5172689458642,11.5683,
1998-12-31,1.5404685033305,10.93,
1999-12-31,1.3082461125415,10.1446,
2000-12-31,1.3106306483517,10.3156,
2001-12-31,1.2700237134227,9.7799,
2002-12-31,1.2915823260652,9.8236,
2003-12-31,1.4470833799738,9.709,
2004-12-31,1.6096612768365,10.0008,
2005-12-31,1.9742407391767,10.5361,
2006-12-31,3.2770910350761,12.6894,
2007-12-31,4.0875937347737,12.7904,
2008-12-31,4.3417954096332,12.0958,
2009-12-31,4.866945909608,11.493,
2010-12-31,5.0674369233727,11.1604,
2011-12-31,5.6467250537294,12.0478,
2012-12-31,6.2506386815828,11.0833,
2013-12-31,6.7277476871158,10.909,
2014-12-31,6.8729882490154,10.065,
2015-12-31,6.9946406672348,9.9752,
2016-12-31,6.9738870057899,9.3215,
2017-12-31,7.169286956325,8.7391,
2018-12-31,7.7527818077141,8.4084,
2019-12-31,7.9345298654793,7.9046,
2020-12-31,7.6498077327381,7.5998,
2021-12-31,8.077811011567,7.3633,
2022-12-31,8.8769373343953,7.8266,
