Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,-0.020370005852,-2.5744,
1961-12-31,0.0125859949656,1.5872,
1962-12-31,0.0166039793584,1.9127,
1963-12-31,0.0284479886208,3.0702,
1964-12-31,0.041719997312,4.1772,
1965-12-31,0.0069999972,0.7015,
1966-12-31,0.017919992832,1.5388,
1967-12-31,-0.01119999552,-0.9087,
1968-12-31,0.00139999944,0.1035,
1969-12-31,0.0209999916,1.44,
1970-12-31,-0.013439994624,-0.8382,
1971-12-31,-0.1164802334079,-6.5498,
1972-12-31,-0.045079981968,-2.1393,
1973-12-31,-0.0319942661193,-1.2752,
1974-12-31,-0.2144796342081,-7.2216,
1975-12-31,-0.1527947038843,-4.6879,
1976-12-31,0.0241422850925,0.6948,
1977-12-31,0.1512705579044,3.3658,
1978-12-31,-0.517246978187,-9.7525,
1979-12-31,-0.3652022946476,-5.8579,
1980-12-31,-0.4637354826772,-6.3829,
1981-12-31,-0.230339923811,-3.3604,
1982-12-31,-0.3151991723374,-4.9008,
1983-12-31,-0.1352997257938,-2.2628,
1984-12-31,-0.3284007735602,-5.3041,
1985-12-31,-0.29739999417,-4.8476,
1986-12-31,-0.2927991459497,-4.0447,
1987-12-31,-0.4059001031451,-5.0923,
1988-12-31,-0.437199897448,-5.2326,
1989-12-31,-0.5872991897374,-7.0903,
1990-12-31,-0.4831125884893,-5.6357,
1991-12-31,-0.123448964618,-1.5144,
1992-12-31,-0.0336673874803,-0.4101,
1993-12-31,0.2846432081139,4.9488,
1994-12-31,0.2011800985092,2.8144,
1995-12-31,-0.5936502204858,-6.5623,
1996-12-31,-0.8324785313778,-6.9109,
1997-12-31,-1.1390178533818,-8.6843,
1998-12-31,-1.2062659380089,-8.5587,
1999-12-31,-0.8416974028334,-6.5268,
2000-12-31,-1.2875477407171,-10.1339,
2001-12-31,-1.3094678621388,-10.0837,
2002-12-31,-0.7069179242613,-5.3767,
2003-12-31,-0.888105847726,-5.9586,
2004-12-31,-1.0070025437708,-6.2565,
2005-12-31,-1.3979979831408,-7.4608,
2006-12-31,-2.3931484288636,-9.2666,
2007-12-31,-3.2139737602054,-10.0568,
2008-12-31,-4.390150819729,-12.2305,
2009-12-31,-3.5551763367463,-8.3953,
2010-12-31,-4.6066575768688,-10.1456,
2011-12-31,-7.1725535089945,-15.3033,
2012-12-31,-6.7077093300404,-11.8938,
2013-12-31,-7.3267406678311,-11.8803,
2014-12-31,-9.0307149400918,-13.2249,
2015-12-31,-7.0610707219027,-10.0699,
2016-12-31,-6.2586833084988,-8.3655,
2017-12-31,-8.6316667328273,-10.5217,
2018-12-31,-8.6032779707845,-9.3308,
2019-12-31,-8.937167365004,-8.9035,
2020-12-31,-8.0078577160261,-7.9555,
2021-12-31,-10.027923138552,-9.1409,
2022-12-31,-10.546983132451,-9.2991,
2023-12-31,-9.3932997385056,-8.7428,
